fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,dopamine_correct_shift,dopamine_wrong_shift,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3430831493745401,0.028513612950699097,0.2403846153846154,0.006318681318681324
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.32358351729212653,0.008793230316409106,0.2936126373626373,6.868131868131844e-05
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.6076158940397351,0.21942604856512143,0.41655219780219777,0.05597527472527475
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.8162619573215599,0.001508462104488684,0.35776098901098896,0.0002060439560439553
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.38169610007358357,0.12974613686534223,0.385782967032967,0.026030219780219827
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3512877115526122,0.014385577630610796,0.3716346153846154,0.015041208791208877
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.8236938925680648,0.015820456217807144,0.3524038461538461,0.004601648351648363
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7887969094922737,0.0010117733627668102,0.27321428571428574,0.00824175824175824
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3415562913907284,0.0193340691685063,0.362087912087912,0.0832417582417582
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.34205298013245033,0.0025018395879322364,0.2541895604395605,0.00048076923076922906
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.591813833701251,0.21087196467991168,0.382760989010989,0.029876373626373687
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7767476085356879,3.679175864590434e-05,0.2879120879120879,0.004670329670329654
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3318432671081678,0.004065489330389999,0.22699175824175827,0.006662087912087902
20,0.0,500,4,3,10,100,4,2.0,5,0.15,21,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.31513980868285496,0.004286239882266424,0.28331043956043955,0.002815934065934056
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.21090875643855778,0.002078734363502588,0.5221840659340661,0.015315934065934123
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.21931567328918322,0.003090507726269287,0.48042582417582413,0.003090659340659302
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.23736203090507724,0.004801324503311236,0.5083791208791208,0.03035714285714286
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.301766004415011,0.03498896247240613,0.49484890109890106,0.07204670329670332
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.22897350993377485,0.0006070640176600306,0.5151098901098902,0.015109890109890167
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.2631714495952907,0.03763796909492273,0.48331043956043956,0.021771978021978
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.23103384841795438,0.0012693156732891675,0.528846153846154,0.004120879120879051
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.33094186902133915,0.01839587932303166,0.35027472527472525,0.1552197802197802
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.24218175128771152,0.03699411331861663,0.47266483516483515,0.12348901098901108
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3050956585724797,0.08364606328182488,0.5305631868131868,0.06559065934065944
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.2588300220750552,0.04996320824135396,0.4697802197802197,0.10714285714285715
20,0.0,500,4,3,10,500,3,1.0,3,0.15,18,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.2659860191317145,0.0007542310522442863,0.44230769230769235,0.008241758241758212
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.30091979396615154,0.06217807211184692,0.4900412087912087,0.00968406593406601
